Validator,Vote Account,Stake (SOL),VL,LLV,CV,VO
Phantom Validator,J2nUHEAgZFRyuJbFjdqPrAa9gyWDuc7hErtDQHPhsYRp,391113.25929,1.777,84.27%,94.33%,N
,71nnaeTyVeA4pTozAPjRuQyMydQTZCrFUkz7Pzy5tiDJ,373530.65851,1.346,94.87%,99.97%,N
Bitcoin Suisse,EcLPNfLFgCkbcTuvdeQ85pnQMgAfBDqi2dkoNVPrSyr5,365406.90984,1.689,87.23%,95.69%,N
BlockStake Labs | 0% Fee,696fkFqwiLxsDG8Jr5MvU9kvGm9uuMuTPh3rn3ybRNQm,363699.38109,1.566,89.43%,99.53%,N
,J9pfW4dJM8fkoCLQazymPcbNrUV3DzDo9qqokYiTHLZ,354425.97917,1.600,88.91%,98.54%,N
Xandeum Labs 0% fee +🔥APY %,6hZL2FZim27WkQccMfygvvXH2eow5u3wR6XUJHbMoeWP,352069.90050,1.757,83.99%,98.67%,N
"Ubik Capital - 0% Fee, MEV",9sWYTuuR4s12Q4SuSfo5CfWaFggQwA6Z8pf8dWowN5rk,346382.18613,1.389,94.33%,99.65%,N
pico🙄.sol💎200% MEV & Fee kickback🚀,3xjfK9C9YNcta8MvK1US4sQ3bc6DEjoJoR3qLExGf9xE,344332.97275,2.231,73.75%,81.73%,N
Solana Beach Validator,BeachiopjxQxL7CaHNSZsynApiZCKx9QFVtcWNz3jDBo,322557.06886,1.750,86.37%,93.95%,N
Forbole,76nwV8zz8tLz97SBRXH6uwHvgHXtqJDLQfF66jZhQ857,318458.19889,1.544,90.92%,97.49%,N
Edgevana,EdGevanAjM8a6Gg9KxBVrmVdZAUGAZ9xaVd7t9R4H2x,305810.75383,1.744,85.36%,93.14%,N
,6tgtejPHUHR1pECzXqQT8EHZqnKCWZFSqdZXDyBaKe3b,298521.08426,1.396,94.07%,99.69%,N
Superfast,R1vAoSPFQdCc6wsAEMtxWXjqptSeN1YUiq2Zni1of21,293817.61918,1.973,80.03%,94.23%,N
Rustiq Technology,GB44NXtM7zGm6QnzQjzHZcRKSswkJbox8aJsKiXGbFJr,291694.19110,1.588,89.22%,96.78%,N
MARGUS.ONE 💎 0% fee +MEV!,CzmqDuqEpfnkptuLAcikmJrhCnhFXo8aUBj6Rto1SPAc,284864.83567,2.077,74.46%,98.15%,N
Vault X | 0% fee +MEV,FahWJg2PkphJaMUUCzdYhXkD5NngUuuFRFD3YCE3BSwb,281704.37640,1.441,92.68%,99.71%,N
SerGo,BWkvytz3MAiLkUbMuYK5yV1VYThbBYYQYG3gdef8NLw5,278914.88929,2.192,73.10%,87.99%,N
Legends,6W8yrMwtDU5G6ErazhZHfLjqZV8cMvajpSRGYgrZ3d4v,274409.25913,1.834,84.73%,94.21%,N
Stardust Staking - 0% fee forever,5iJDEVRi1nMLwKAWhYbEokZnvBAe15rgFaHGkggVEP9z,272687.06989,1.636,88.22%,96.23%,N
Nordic Staking 0% fee top APY +MEV,B1w6SZcyvjyp6zEyStcc8u9AxXAh2AbYvNzMmP9rRKE9,271261.56673,1.676,88.09%,96.07%,N
Syncnode,7PmWxxiTneGteGxEYvzj5pGDVMQ4nuN9DfUypEXmaA8o,266254.97028,1.654,87.09%,99.33%,N
Spectrum Staking +MEV,6JfBwvcz5QUKQJ37BMKTLrf968DDJBtwoZLw19aHwFtQ,262609.23620,1.443,92.71%,99.64%,N
1000X.sh,1KXz4xKV2viJCGpxqnQqdf2J45vQr5USdmtcJLTaHkm,261408.69679,1.407,93.33%,99.17%,N
Solend,SLNDoinxE7cCgE5ga6FJZ19F4FiUaEmtzSatbY6cjWy,258636.03956,1.595,88.87%,96.59%,N
Stronghold 3% Fee + MEV,Ac1beBKixfNdrTAac7GRaTsJTxLyvgGvJjvy4qQfvyfc,258299.08475,1.627,89.26%,97.16%,N
Luna Labs,Luna8BkZNpZ9DKmszrZYPvFpTr4eJJfxxTnGDwTrYkv,257756.31509,1.289,96.26%,99.92%,N
Solana Community Administrator Node,5K8qgC9nHzKHSSyo9fKLsMfYmavYdMgEaYx86cMmVKVv,257311.91720,2.152,75.66%,86.98%,N
,HQbdXrLm3EuFyu66mCpDS4ir9zRkhNHJVnck4vxG7jEo,257090.84465,1.316,92.63%,98.48%,N
