Validator,Vote Account,Stake (SOL),VL,LLV,CV,VO
clockchain,HG7a8fgjTkQhGFTPukbTdf5FCwxVVjKzkbo6ToNswTXH,41175.05526,1.725,85.97%,96.71%,N
StakeArmy,91ciyr81FJnZaoWcDT4PHwwdzgNp21cgH354JbCuxnwR,41174.21604,2.012,81.54%,90.94%,N
Above and Beyond,ACE2rAgt842mfSjaB4YYzxony4F2AogTPDNCYtCoRh2Q,41060.41202,1.484,92.17%,99.45%,N
Moise,4jEHuQZTNTRYAhxRYEjV3HJ1b4wqdQjnBRdPzFWzkCft,40887.41360,2.040,78.25%,86.80%,N
Meissa,BK5Km4MyuncoBWKCM9y3zntA1JjhdqNcHd3mxitms4Xo,40833.61595,1.913,83.79%,93.43%,N
Hyper 🫨,DzQHN1oTdN85Sbku2bc9Fu9yEwrgRMiu2XbRcntZ31yb,40252.52737,1.805,83.18%,97.89%,N
SolRealms,Rhob5aKMhFYqwn26o2zvApzwAWmagtW1ShLmWSPxhKX,39684.41409,1.688,86.77%,92.67%,N
QuantumElevator,5vfEHBMSCTkR41GeKLyLb6ua6dd632eCpEXYC4YzG5df,39638.91279,1.836,85.05%,91.98%,N
KlaustinMB,CCxSNvJogH6LWyoiEbG7JfcWybw2FqqCExs5GuemChGr,39552.01283,1.705,90.64%,98.67%,N
Kraft K,FKyoehgzXD6KVSQoHJuTteXGCrChYe65k98wMckr9MN8,39172.84143,1.744,88.69%,98.28%,N
Node Integration,Node56Cr7y4Udym2vPt9DsRbWcBL29JivsGh2drpbKb,39142.62556,1.649,87.74%,96.62%,N
AiratBaia,FEtRZqL16RiizCa7CmZH9tsN7oNfWdKtBf6GM1ETzWR,39111.29837,1.811,88.15%,97.21%,N
BaboStake|JitoMEV,Ha5QeKj9o3u1116qohTcSqEhPRJgUUKSLxS1n5Phgq85,38977.51270,2.170,82.55%,90.08%,N
StarStake + MEV,G2Qvt31y3wQDqLvnZTf1Lj91JrZ8rKUhtCP5kVJxXS9,38828.70023,2.161,83.66%,91.88%,N
Knedlik 🇨🇿 | Stake with Us,FKSXgi9YVuMwUzc4miWhFnJPMTbjJ53XMFgyoCZCo8c,38821.92399,1.644,89.56%,98.91%,N
,Gr432yJ6wqeyh1p87fVCxcdf8RsWsGtfAdEVLYrajBAm,38694.55100,1.589,89.23%,98.72%,N
ILY♡Validator,DG6fVEB2Qy1jntvHVPui3R12CMqcwNNnjYPYdsbQ9ACP,38652.46933,1.966,81.86%,88.61%,N
ment,55gncCYVFXYZhjD5a3aemVVtiHaVwfzu2R4axgamGLwV,38644.49295,2.145,83.02%,89.91%,N
goto5k,14YCghb1uYPreALx6arirtPAnoGghoPH2Ac6gCmNQdq7,38577.37499,1.503,92.20%,99.07%,N
Martinkas,2AWVgdBDNhUjkfvueyoL5BPBycJavMwTGC9wEtqh5QwV,38564.96277,1.721,87.53%,94.77%,N
Stakezilla,pgbB8erEYkTBKxyuXJRB4HrwtgyKYqeGCQnuPAH8yVw,38458.41153,2.004,81.18%,92.43%,N
sapog,CGj63fS6gJXm8KvaUkkL5yAZvH9cjeRgHCgJwcZZEsRd,38441.30448,1.813,90.22%,97.81%,N
Solissoul,9V3Yy2fYZt65so3xg6wmnUiG1mDQvgkTJYTsn3YPkgLH,38413.93795,2.171,83.13%,90.51%,N
Staking kiwi validator,5afRnmkFn1pRU9oussqwk1RRBVyoDgUkL16Jz4qNf574,38410.83178,2.023,86.92%,94.08%,N
Lis1,23utbQdXgsucDPTVcaRQiTZMrKPhQ1nmg4iRNdHDNwTb,38359.99449,1.836,86.07%,93.21%,N
,GwjRJdT9nKmegq6a8nyvEPfoQZUSPp6N4KmWAUMo76aU,38063.65979,1.876,85.51%,92.40%,N
Nelly,ELvd1ayPGicuX9yBNr6tn3V3BUCa12Cme8FDdghcmskf,38045.64273,1.765,86.01%,94.25%,N
shishaonthespot,JAc59DHJCxu9T1xSP1eaMD82aH3jGNqvwQYZkfA4JLy3,38035.74014,1.639,88.71%,94.87%,N
Gladiator stake | Jito MEV,HD9FwkthKMAFzT3zsPfsZuELUN7pW71KkDR1EczuX8t5,37941.39553,2.212,82.75%,90.24%,N
Bork Validator,6gNdKvKUXLsmGnhYHAa6BRtcirMEM6orhZfikoFVXen9,37813.90544,1.861,82.34%,95.50%,N
dreamstaker,7r1g7s6UjYuosRCHwedpGRCbJhZqM2LhUPxgoayRE6Rm,37763.19325,1.838,85.03%,91.90%,N
HyperSol,Fbnesg4kSDDoFbjaSiDQJ3GXHHAnNb1CJCgLQp4dxj4C,37718.07056,1.413,93.97%,99.36%,N
Sponge,G9oM5tuM9E9r4Q9N5cNbm7NbT8bGuaQFdJ7QTPXVYHeJ,37659.65279,2.109,83.32%,90.74%,N
Troix,DggvF7asrbjrqvcvPPRKovy3VVvjCgvc2GnWVusxq2MP,37581.94797,2.041,81.01%,89.61%,N
huglester,4QhNoG3PN1FXXFhAEA2QWdor6xjXvM9pjq6MXAUV8Zg2,37566.64138,1.842,84.83%,94.18%,N
TokenVentures,Rn3ERP5cLVcB4oWRZpoujk5VRPM7SLrM2txPVHGYwn2,37557.17846,1.636,88.90%,97.77%,N
Vitaliy.T,5kAKXkZyBpAncEyYxGcn2peRkkCMZh6ZrhopWQXq78Pe,37449.32479,1.499,91.60%,99.47%,N
katealmighty,CnuTdyrVwnNFLzUWSkhbX7VGYUTVEqhavjehAXHhAw3e,37320.71940,1.646,87.66%,99.46%,N
Agrestus,sBcuGeMJCRkdtMNgskLTX7MePb4CzCqZuyMKDrcPP8v,37233.58970,1.443,93.47%,99.68%,N
NastiK,3Qvmhayko5Yn3sSXDsHsMzS8QjdU4CshQF2y6L276kgi,37124.05579,2.175,74.56%,86.31%,N
Sanderok,2LdPsE15gum8SDCExPHuhYz2Gx66gxaETQcUruDoavSv,37115.56503,1.613,93.82%,99.49%,N
Nuclear Block,CMPo7H14cu4irHQgBo5uDLgsrXX6TfVaMmqeo4T2A3BG,37115.25883,1.457,92.84%,99.54%,N
tenerifka,BJipnsRJCxgcMoYc7Env7ee2YASTtwLuyvD23AsJ3E6U,37093.73353,1.846,86.41%,93.22%,N
Anode ⚡️ Beta,AnodeNCzJGQ7QwheFqJr6EknKGa72m6XHiLtDQiXcmEc,36888.54233,1.428,93.21%,98.87%,N
Race2.Space,2uXoWb4tuNZ72wAdQDfGn42PzRQ2kZD2x6ZDt3urwPrv,36701.67287,2.008,87.32%,97.02%,N
C-Key Validators | 0% fee + MEV,A9YmK82uhCXieM9Cw9gN7W1F2KCxa8U1ArA6qxnyYcXQ,36665.82613,1.606,89.81%,97.84%,N
meAnn,DTDvrj1mKFv453DMAGRuFwg77DuLjsfVHnbLe5BJPL9D,36648.74770,2.034,84.36%,96.94%,N
⭐StepByStep⭐ + Jito MEV,2wUhcnViyzstvWmk7NAboKtjbFbqJPo4BvFBV37dacLc,36560.64497,1.513,91.62%,98.86%,N
MBGBuzzer⭐️,5bTe8MuMyP1A1ahXHpAkFrhQybNEQuKgU5QhpnQRKxuQ,36543.48023,1.507,91.43%,99.74%,N
lapsky,dcwMB2qjmAwid5KNo2qquBPyDxzdLfe9io8JAxeRU5m,36528.65799,1.570,89.36%,99.53%,N
dman.sol,BYNXBFkB89FoRCJ4VxFE9Tfde3anECjZjasTP8qSYQUi,36471.21019,2.135,83.60%,91.30%,N
,4YykTGwg94GgHZEPSsQfbaMaEE9HHAHqSuXT65L6C6wf,36426.30099,1.400,94.04%,99.38%,N
BBG 🫧 +MEV,BBGumW2W9u8NEpkKeK4Gq1dCL2dUzAcLVPoPFYHwHHjm,36393.44241,1.560,89.90%,98.28%,N
STAKR.space 🔅+MEV!,3a2onvgTpGynakAQwx6gigtSeL7itZewNxqb5JiAvWeA,36315.07257,1.720,89.56%,97.06%,N
DSUM 🌟0% fee +MEV 0% fee🌟,GJ3z7fJnAekf2LmGMe2gYdrxjqUrDQiqzcb7hgQLFc7X,36279.24050,1.828,91.31%,97.92%,N
Masternode24.de,3Pb8KDmneuKuS38aDSFnK1WGz18aZN5Tuyu5ZaNUnySc,36145.06909,1.639,89.14%,97.05%,N
Yurbason,9gANMngbGUmAaLXL1RC3JdiaLjRowJXNbzCTh53ht7mq,36131.72812,1.910,84.64%,91.94%,N
qwertys318,GTeoHau1SpLhoiDGJdQpGd7AS3gyaFLgGVG2EHQRHoWp,36055.57089,2.049,77.44%,83.01%,N
DinoSol,3TZAkZtKuQe1B3wffyke6WNy9Z7cLVY9xhR3qT1hVEqv,35857.26161,1.759,85.52%,97.95%,N
kisslovefun | solana.ing  +MEV,EX3g83pPDBzmqhR3Butivqobds4Mx547REXycx4jAJe4,35848.79798,1.528,90.87%,99.43%,N
Solana Plutus,467Bg8FwFFq5jqebWPnMQtdDRjpmHUqvCWBW1zYVMzHg,35762.53400,1.850,80.98%,99.13%,N
SunStake 🌞 | 0% commission since Feb 2024,4FsAxdHQ6HmFrDD7yCwsKNApuA67QYSCMoLAy3NfySxJ,35749.74982,1.716,84.99%,99.54%,N
Pr-k_Zadov Mainnet,Gd5ngiHe5vQbDW6EbQ1wNNsvumwL1M3ranZ3xh4Wy8Hm,35746.84916,1.529,90.88%,99.69%,N
LAB517,F82nmpcZMdHtMVsLtAGByPavdN5WuEX1hjNwzs3UFuwq,35728.07160,1.913,91.16%,97.66%,N
Gaxx Validator,GaxxAn5335dA4U3772MCFeqdyqCVEfmsQTQ47YXfC2Xi,35727.16334,1.527,90.29%,99.43%,N
KURASH,6ZDsQFqdBNmcLho9KLv4M3ggzHxAh8G1EdR6DCjajPvK,35639.06183,1.452,92.76%,99.63%,N
,Gk8yrBiy3gBWCgnHaXcEeMEyCZf9sK3kvTaSdAQAj7zm,35622.30741,2.110,75.95%,84.39%,N
safar,22hhSBsywC3qxr6zvT38zmmhkBQCr6oTqWNABLTgdnm6,35546.37428,1.902,86.42%,94.35%,N
Averonix,4n4KiUuRwgAqdTh6ag8WRy3ibL2gbWTVJPfEGw3SAsHx,35430.89762,1.825,84.68%,93.46%,N
⭐️AK ✅,akVU92YQV5hNTuzLBkF3RZCzKydZokyvzL7WdPF3D57,35365.34790,1.767,86.35%,94.60%,N
Manchego 🇪🇸 | + Jito Rewards,75EiDe2N17CA64fUhhJLK9rKm4TcRfhMFdghzScycWfa,35342.90373,1.618,93.71%,99.43%,N
RasSol,7DvyDUHg2bLVxZ3ZfdrUoAHwoF4cv9AH4aKToBqT6c7C,35310.14394,1.569,89.96%,99.07%,N
TKTN,F1uC4BM1KbAHfpcJALXcZNvuxqbrYkC3Mt5ka8tcf5Hj,35305.85157,1.857,88.60%,95.39%,N
mindstyle,FqUfeiVYd1LMNSDw1t9WE6fAXAKzjUVHf8YzZXWQjSMd,35205.98311,1.472,92.01%,99.02%,N
elvis,4LhqjPqhFMdXPMPN3B7raXVmd8zCKdEddRcrFuRf46Y9,35157.91143,1.746,84.25%,98.99%,N
myhauz,BdM7KCd6ZYWcaCMmHVi8YeL4jFzDVM9cRLJUeRAGSvMS,35132.23779,1.984,83.61%,98.64%,N
M4711 Validator,9b9Th2hxmgf49rzs2mQcg1hHoasmQT51DDwUH1jFtPtk,35040.32655,1.500,92.93%,99.70%,N
ValTim,8cmey1eqqVS7GRqR22NafhQWhzsdgEiciM3xiEPL2Kac,35037.12107,2.013,80.49%,91.09%,N
comr8_nga,522BNbxBg9jdF1GqxhmGGUi4geFZRJH7Ky76Y6HuifXV,34949.85819,1.742,85.14%,97.26%,N
SOLANAZONE,GxqWAnLwrwZbRq4uqzgBukToCpquDZSMKpJ7ram4vzb9,34937.06529,1.876,84.96%,91.86%,N
Fthr Validator,AfyTzhTXBRBCxGdTEMc9LNEkVGVGfGA9wHf1VikaNb37,34908.01474,1.764,86.46%,93.58%,N
,AL6ax4FgMDFNXSgahcifrsri5XYqE7Gsk7z91uBputHh,34901.02712,1.743,92.52%,99.25%,N
,5FbFgsGsAHxDJU9EvtB7Vyy8geHXegkWrcTVscQDaspN,34858.61551,1.743,85.93%,92.54%,N
FilatovDM,6k6Yo8kmwssvayHTzp8K4jtVwmyRyjvQx6T96DNJAdYH,34762.43642,1.803,90.38%,98.57%,N
4t2.capital,CwrJAdkEp7fibRs8Th989tX8gFyJo88jVoK9HmaSCkP7,34653.51337,1.847,88.99%,97.09%,N
,8AShJVwfs9MjHAA5MxRb3QUdt1KZQhwiHip8XdeiogbX,34608.59286,1.999,85.63%,93.02%,N
Kukis Global,4MpRU9fDDSQNNTeb4v5DPZZTKupYancGksH679AKLBnt,34544.16121,1.633,87.47%,99.77%,N
Appload 🚀 maximize your profit,56CMrsFGVrnXJ3PwNV935vFYhfCBdX9btYPnLPE1ATFH,34527.78737,1.568,90.04%,99.42%,N
Carolsol,8ztfVJM7Yf7CMXqTGMGBkXmTkGCiJTgVfh1CYDZZND5b,34519.64641,1.899,82.55%,92.41%,N
yelllowsin | Stakehere,EzZEi48kvDWPJJBM1z9nmjpgRyMwWJwaa4xVW2U6psPr,34467.13467,1.399,93.67%,98.95%,N
eva,93JNyhEhzyNQWAyqNRyCE8GN1jTAfR2NBT87hnrnYvAM,34433.19145,1.572,93.05%,99.29%,N
KingSol 👑 | + 0% Fee 🔥 | + MEV 💰,8Y1ghRNu6zyAcrb79uddZeWPfth6arWaaSazbpHES2q7,34425.22195,1.759,86.47%,94.08%,N
NokrimOZ,D4EYN1xz2VJbNcXGpV2F5cGCi6pH7WZZeSYgarkZ2caY,34408.56945,1.446,94.08%,99.81%,N
🚀RoCat🚀,7StQWSBg1tCFRqQ2GUEUn9owmZuyacUiD3xQ2djXDFpd,34401.47716,2.115,91.74%,99.01%,N
seanode,3RhKQt1L4RtZMGMY111bjymGqKcd6ZbExux9NCm8t1hd,34396.88495,2.465,89.40%,97.95%,N
basist,74DQRGa4oqepMGcz96obZvw5gJPEPwaPa9MTqbAfBi9F,34357.59043,1.686,89.10%,96.70%,N
,GBj57rgnT8gvFdU7awQ1u4toKxMGcHGHp6VVRXz34qyV,34239.14928,1.630,88.84%,98.49%,N
BlockRockers 🎸0% fee + MEV rewards for stakers,HkK6U5e8HkTs5uE7VEWQ2H3NuznjLF1mpoRVjzdDgfF5,34222.17774,1.980,80.56%,90.25%,N
Uberg | Jito client,HnkhL3JYBSmb3s9thcVWzAQA9NqJb5m9U2d7mdDxprGo,34167.91969,1.665,90.25%,97.42%,N
NikiWop,HNXuDfYtRnRjcUJHqfNg6sKzeqfz3YBCXeZQEBwZJg16,34109.69815,1.738,91.35%,98.44%,N
nakepelo,8vumofCfwJXMWKcBufRnMicvUmXp41pxa4nMGysSpcWq,34103.19969,1.497,91.99%,99.46%,N
Rust = 1 Love,5m3oE8X1HokEpjXJv9eES98JiNuD9yp1T9TDCuxvZZDR,34032.61366,1.673,88.61%,96.17%,N
,Bp1F9Ma65vJCecNQBauQ3yvbARDbC1kZXEvfmcux9HLy,33995.64551,1.988,83.84%,93.53%,N
isillien,AdtBv6jyEjY74XhkxZkowMuGfV1r58j44WCRyeToic99,33944.86732,1.982,83.88%,93.55%,N
Banana staking + Jito MEV,8EQwZusrHgjZyDKXVdtsCeGNsL6VmEB5xq2EP6XK4AUq,33940.73231,1.829,82.68%,90.48%,N
CamiLLe 🐘 + MEV rewards,4ysUQbvWDjUdRprcjaBEH4V2VqPJgrPSwRsS6ATTMbiB,33908.21146,1.915,84.70%,93.38%,N
MAS DeFi,masvNDXtxVVMrYSV84RMry97JyHXAFcdfTZJ5VzpSYR,33887.71585,1.896,78.04%,96.43%,N
Crypto Flow,ADYZmUgm49MeEotqzz59eVtoeNKBv5d4jRn8xjvR2uj3,33885.63427,1.762,92.60%,98.84%,N
,GpPNw6TxbR2z75ECU6Bdbtpi24vSWP8JQA6CFKo2tiPX,33883.53024,2.079,77.31%,87.83%,N
,9oNSYHVuPFYSVRBUN1nRW3Hoz58XGH957etGuQ1pWAmG,33860.74163,1.674,86.47%,99.46%,N
JI2 Validator,F9PZNSEtgbqmgsa4mkgkAuLFYQ8nHzn1UqubJQiLkBn3,33844.76671,1.552,91.06%,98.15%,N
POSTHUMAN,F1emDGY23U6YpJj4H4af2CHcHUmiDGgAWs2xvWYZHWdR,33801.96919,1.458,93.07%,99.05%,N
roadswithoutend,ECJMTMCroXLtAqUnSbrCH85ARP9zg2vYooM3fwAMfMSM,33788.69582,1.431,93.48%,99.70%,N
Soph Validator,8AKJkPw4d2XXXy1fjQPvty9ModNrNaqdJJb9ifi7iXAX,33772.36420,1.400,93.81%,99.23%,N
Umbrella,8GqyNGq1DGAbQLJCqidEV3cyPzByQdj9Ak5MrVibnu6c,33727.12712,1.624,88.45%,98.32%,N
bornslippy,DdAvpE1oUuV1sNUxLgtCfC6ZwhgdyPksoXU9EfYdXL5U,33711.25380,1.507,93.42%,99.42%,N
Yakamoz 🇹🇷,5pfqseENmSjqymBEUc86MM1YCX2d4hzb9HnsugADb72B,33706.40333,1.611,93.79%,99.43%,N
Khaos,DhU3Q2NoCxU5ArXJWm3zxFDRuBiPU4fGrJ8kUasPxMnQ,33701.14298,1.995,84.00%,93.79%,N
,27JusH756d8Wc3shn5rB7PxBW1Xwmi3CA3Qeh3KtXf3z,33666.51564,1.483,93.50%,99.48%,N
UA_YaroNode,JBaE8QhwFwka2kZxdF1DJHKb7XGdSRuiWutVB9SyENbJ,33632.32915,1.646,87.74%,98.85%,N
,GiAsNLcrHMMwmd5H9RqAxKgbwoiBVw43Yb5b9eL2uhWh,33615.09820,1.480,93.22%,99.78%,N
BeeVault,42QPziW5fPVjK2HWX89UE3BbyChbJD5tze2VazQU1qvw,33603.19792,1.695,86.42%,96.23%,N
Crypto Plant,EJ59wFK3qPrnsFFSpZ7jSwCnXe8hVQ12heXYUqry7Muc,33597.82384,1.981,83.36%,92.61%,N
Morpheus,FSZ4GBucapayiQC8w1VNpKDmzM6NZDBSZmEFZsgMteRr,33593.39358,1.680,92.98%,99.19%,N
Stellar 💫,8dHAjvZbnBfi67A7RTBXyMuq6uomJNNyre9guENFGcFD,33562.76303,1.307,96.03%,99.48%,N
Supernova,GdRKUZKdiXMEATjddQW6q4W8bPgXRBYJKayfeqdQcEPa,33557.68356,1.629,92.79%,99.12%,N
DiArty,BTQbHhcrqMoH1zyFBeXWVLgF4KV151uS6Kb5zpMBpwT9,33546.73721,1.841,81.67%,98.39%,N
igreq,JDeNVy8krNyf4dziyKnXwSMoBeFDhGUnHEeSmqWBAHkz,33496.39462,1.646,87.44%,99.01%,N
3bepb,HtRAGpko23W2t8wPUU8HuUQC1TrRUuK64K8RCqRD5ubX,33491.48469,1.736,84.11%,99.39%,N
croco,31XTYdLdpZh3gAEr6oKkXRhx9hiEWJwRh84jo92C5CBX,33490.86017,1.777,89.80%,97.60%,N
,5qdCvzzeCXfGH7EPjfu1fBNjL6DtcwV2w24A2m1xRM9p,33486.77545,2.015,83.71%,93.57%,N
Cryptonic,mitDy3gnfY2kcvvrHygv3qsU5i6QqNve3cw6LDibRS2,33464.44674,1.649,87.74%,98.24%,N
StakingTo.Me,GuY9VVJkH2tdg1z2tePC3uy5y3FbyqT1cHt8ETYWPWNh,33461.19612,1.726,84.65%,99.46%,N
RocknRolla,52J4Nhv5u3bKiKBw5nvAJjUigoWHfP7PBQCfC4craVEY,33414.04355,1.594,92.71%,99.13%,N
traderusdt,6QbXuFT59Gu9ihxPmUcLFpTfgXwaSxoJPUTcEDkidPAE,33394.77298,1.926,84.85%,94.81%,N
,HYjVeaM7XjdVPVUR2xkSDRDKUvaz1VaVAxn4RTj2gwDu,33372.75009,1.981,84.18%,93.66%,N
Dragon Trust Stake,CP6mfD4Qc5AYrboXBAQeHMYj5x1UnYksDXRjG7DMkHH7,33364.33950,1.604,91.15%,99.39%,N
Block Aegis,CvfYpW8gRQ7bHy9uvuvqy2vpcNmXuBnvaoa2AC8pGHJx,33354.69729,1.677,87.09%,97.60%,N
OrkValidator,FWyBxaJa1GAkM8sUeC46Mxbj9TZHzyn7Eor5ojBPboLK,33340.07973,1.583,90.13%,98.74%,N
Solana Sentinel,8Bsn6atd2NRbtRvkotzM8aLa8PXWv56SQF6bum2advGF,33334.66852,1.663,89.64%,98.25%,N
Stake on me,7teJuHhmHjCHDZiB2TEgdS5wFru4sRJB9JJR4wAQ8pM5,33327.97817,1.776,92.28%,98.82%,N
dikijkoala,33jhUy4KkZ3AxRfqLshb4u6u6pA1MC6yoNHrKWNeRxbg,33310.05275,1.572,89.83%,99.32%,N
,J4JhJL3kurhw8RZKhXp3fFTjyd5NX2yCbKDBN1eMh1Uy,33286.47183,1.666,86.77%,99.51%,N
Nikita-pusher,s2VZdgVB1GkLy9y6N8CwEyD35bomuvxSkc4e8affvt9,33272.11118,1.622,90.26%,98.15%,N
,EQPh7izMjykXgiKr5Qwk8JRGdooHph8YJouLZmqFAMxt,33264.52670,1.527,91.31%,99.18%,N
ganymede,7z3wq9dTjdRBKGpapQv6FugsdSUKxZTEEkzSFaUG1noE,33246.70277,1.495,92.00%,99.47%,N
,8SRc8gaFpmnb2behQp6KXZxrt9KcV56eFTzUDhzk4qei,33200.73876,1.998,84.10%,93.61%,N
,F7WubP6g5CLmumKWyB4yUouyucxZbnJxFKJtxq3DiRhA,33186.62831,1.591,89.29%,96.74%,N
vibeloglazov,Fxnh7reapaQPZdbLPpFG1svuEGcJvibnT1Q4N8h11g4A,33173.44034,1.635,89.11%,96.19%,N
SOLAR STAKE,CrEA7jydDYM1kxLR3MoYXm3r7WJxmgR54MyjhF9FgbtW,33164.18000,1.578,89.18%,99.71%,N
pythagoras,HjGn6RPn77LGaWGvzBHvsNAwNMkpBXo9AgfYToA5Ka2N,33151.75838,2.099,76.89%,88.24%,N
,AMZPPHg2Ht7PBMQuzwrk9FAx47xZVPwxSstC4GcuhfKo,33125.89694,1.652,87.63%,98.09%,N
martta555,C2bJpaAU2cBupABkV5p9ed37sn7z8f2nfXqZ1gFBNBvv,33120.69279,1.719,84.54%,99.70%,N
Node4Life,C31ocJKVAi8wxCvyAMjXte2fY9zECV2fKrn786F4WZ4N,33112.79165,1.734,88.04%,95.40%,N
DSRV,2mxWiqtwdpE8zgkWxwFaJLn127dbuuHY4D32d8A6UnPL,33108.00144,1.666,88.66%,96.64%,N
NannyNode,FKCcfoLt2pq7boiNqRGucVq5LE1K5Dt4HALCx2WbEQkv,33107.91030,1.817,85.82%,95.22%,N
,2m15uU8ifpfLY2myMCeNcxwn81KxXoQ2g7akG7Wf6pm3,33081.26902,1.964,81.66%,92.23%,N
SOLrainDrops,4BVYjw1ztUzUPsxsaCheWWwThT2X4rjogZytGnuWPUGg,33074.31778,1.964,80.73%,93.80%,N
,7Uj2rdTRibv9Bu6ovCuBeJ8gyPPR22SEYD19kNEXf63w,33073.21825,1.625,88.83%,96.22%,N
pupu,F4UVoVGgmd2aJwnfz3eojQ92P9AvYbRG51z1xnEj8tFy,33069.94741,1.614,90.07%,99.56%,N
,9H7v1rB2tkPUaFmW6BMNV47Qpj63crPTzmhVgpQAmz9Y,33054.00507,1.694,88.59%,96.57%,N
MoneyLong + MEV,2DM7z4MxS13BmxHc2aENmDYAiMPvYFnMmDyDDYHfuK7D,33053.45514,1.587,89.96%,98.52%,N
fraybe,6h4mhExruKD3zp7FLFU6ZDK9yVqoLHHdKVGpGXcauveT,33046.23840,1.601,90.00%,97.25%,N
Nastena,8EKcbqKnQT9SV7hFUmfpJixZ63GL5btf74umgPQWsMUH,33037.84071,1.770,85.65%,98.50%,N
,AbacusTT3yhEFEKkQKjGStDhKDnvSFGpg9EqBwz8FnDF,33017.30538,1.445,93.21%,98.98%,N
Unicorn,BgheKvqFnT6qEyBtweMGGBRGtgqzb7DxAYn13uXqfoZW,33005.76428,1.728,86.59%,96.76%,N
1ce,BQ8kUgoPwZ1HZKWPFKozv6dcXcmGrvbG8TCXZZXnjSJL,32973.93796,1.819,89.00%,96.51%,N
IuKni,5TkFPZf79rezPXzCTP6DjH4NLb7Hw3jRsAme1fv431oz,32970.98213,1.801,90.25%,98.45%,N
Valik - Jito MEV!,VoteMYitKq7mruk9QPJRUgryYbSkyZKBuvnL1VTgoMq,32946.74732,1.721,87.28%,94.57%,N
moninorka,9BUaTrUWHVpwq4mN5YTWLD5cYy3UtyRSwzg5v2hyNFNm,32935.16932,1.684,89.20%,96.59%,N
BellamyBlack,BfVYYC3HBuQW5GLkR1VTyQD7ERGSuX3gBpqX1DJU4Gqq,32934.08432,1.880,82.96%,98.61%,N
meme32,9HkDHk27SwpNdVuAjWvxx8d1Pg8HYUNCC721okcvj9Eg,32929.87537,1.543,90.44%,99.76%,N
Dragon Kiss,ApcUbFDskBMrYJqu9orEnPSq5uMAH1YjhwR4DP2JwKT8,32928.10116,1.819,92.08%,98.55%,N
,4NTGFvib9jutwo2GZbXSomgMoeJmoFv66T1mup4Kd8o6,32911.96376,1.607,89.69%,97.19%,N
,DR3Gt31cATSx4T6qRTaWcPzLKP3FSYpqrZ74iDHVm5A5,32876.39588,1.555,92.71%,99.11%,N
ayk777,GSaWJ4FjXQ3RGctXaBdcW9oh939cwxXUeeV9A9d4shvf,32872.45218,1.719,86.00%,97.56%,N
Egor - Low fee + MEV,ADaCfGqp5drykfme5omgfFsVgyFv2kHJMQCTxcGngrn2,32854.66632,1.448,93.19%,99.01%,N
A2Z Node,FjEkD78awHu3Zh6x42FidATyMfaU7QviZbDjao4UfZ9m,32844.41401,2.215,87.19%,93.73%,N
nikks,6Wi4bMzio6PGnHXg39zBMjGp5vgphLBB2k238DzPBqhz,32836.26083,1.938,86.30%,95.37%,N
Yerevan,31BQ9aXoHU7TpJ4uQHyYGZW4JVb62LefFWW53NpeSYmB,32813.75036,1.450,93.52%,99.49%,N
skill,6minRorGYiA5aEeDvXL1Usat6DCdaF46owL3oANVQ8uB,32799.99360,1.600,90.46%,99.74%,N
Rapunzel,3m8Ct5n9feJFEuuXFb67oqt9XEJeBYkGyEdQRX33QQ5H,32792.57784,1.786,92.50%,98.90%,N
GreenStake,8GN7k7hoSXtuZ9iGwNcQbEDHBiyf8AhFKCSAi2me1pTe,32762.39125,1.743,86.27%,96.45%,N
Anatolik,2oxQJ1qpgUZU9JU84BHaoM1GzHkYfRDgDQY9dpH5mgGn,32743.59847,1.813,89.92%,98.03%,N
stakely,BmMVRAVef2qmJ1tJpG3JwRUtnfEiTbvDw9ZeFEi4wE7D,32725.69248,1.832,86.17%,93.50%,N
PleaseMilkMe,BeLBaGs8dVP1bcA2zhv1RHmEPFY9PfmSR2mFgoqKkiaz,32724.15084,1.790,90.36%,97.85%,N
UFO validator,88KvxpFUnahtg4GCuRayvoyysboHp8j1P38EqgjjdB4r,32721.80121,1.705,87.19%,97.18%,N
zero,3LAzTH2Fbsza2wbnKgrDcQKdaQRshQkb4w4vk12E5KH2,32720.51059,1.638,90.84%,98.07%,N
Venovi,8NQEDxYxwUEPQk1yKFJEGHvYj22Je5xUQWLPkHfKkwrD,32681.68656,1.443,93.31%,99.07%,N
Solodron,7LR33GiYcNS333LpdccyytkfPUytcZt3ZnVn7CRvW4pT,32645.62504,1.531,91.36%,99.20%,N
,EbTAFfpPzoHYAbj4HoSbiJ9nYtZjwPULi6y2TxummJcw,32640.41844,2.026,80.77%,95.31%,N
Justake Juggernaut,AumDzwu4mvm8TthHRcKjCGAWMBbEutMYE3tsPqArue7g,32617.74009,1.737,86.44%,96.55%,N
Si4,DzGHc5pLJACrLNrXQqvhoLW5cyEDQnuRcP4QDEhumkpG,32617.52265,1.969,85.11%,97.21%,N
malise800,9MDcVy7CjbNuxUvSzeUFbppSP1XWzXGTPo1PiC4CqtGM,32611.56652,1.603,90.06%,97.89%,N
JRock,EWQfCyftKLVbeJtJ4idbLDcDFSGaZ6bZHGS5vboUx3VR,32603.89007,1.704,87.22%,97.20%,N
